Info 0    [18:44:21.185] Starting TS Server
Info 1    [18:44:21.185] Version: 4.1.5
Info 2    [18:44:21.185] Arguments: /nix/store/q0v2lqw9zb0dwag2h5s548cf32bncr66-nodejs-14.15.5/bin/node /home/jackson/.nix-profile/bin/tsserver --logFile /home/jackson/git_repos/TODO_TRACKER_316_HW1/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/c39447b411202ad7200cbe2f3170f49a/tscancellation*
Info 3    [18:44:21.185] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [18:44:21.185] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:44:21.194] Search path: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo
Info 6    [18:44:21.194] For info: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js :: No config files found.
Info 7    [18:44:21.197] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [18:44:21.717] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 519.740899999626ms
Info 9    [18:44:21.717] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [18:44:21.717] 	Files (19)

Info 11   [18:44:21.717] -----------------------------------------------
Info 12   [18:44:22.556] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [18:44:22.557] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0.4905000003054738ms
Info 14   [18:44:24.806] Before ensureProjectForOpenFiles:
Info 15   [18:44:24.806] After ensureProjectForOpenFiles:
Info 16   [18:44:24.806] got projects updated in background, updating diagnostics for /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js
Info 17   [18:53:00.719] Search path: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo
Info 18   [18:53:00.719] For info: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoView.js :: No config files found.
Info 19   [18:53:00.720] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 20   [18:53:00.731] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 10.9468999998644ms
Info 21   [18:53:00.731] Project '/dev/null/inferredProject2*' (Inferred)
Info 22   [18:53:00.731] 	Files (19)

Info 23   [18:53:00.731] -----------------------------------------------
Info 24   [18:53:00.920] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 25   [18:53:00.920] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 0.22049999982118607ms
Info 26   [18:53:03.333] Before ensureProjectForOpenFiles:
Info 27   [18:53:03.333] After ensureProjectForOpenFiles:
Info 28   [18:53:03.333] got projects updated in background, updating diagnostics for /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js,/home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoView.js
Info 29   [18:53:50.573] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [18:53:50.580] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 6.195599999278784ms
Info 31   [18:53:50.580] Different program with same set of files:: structureIsReused:: 2
Info 32   [18:53:51.794] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [18:53:51.799] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 4.243300000205636ms
Info 34   [18:53:51.799] Different program with same set of files:: structureIsReused:: 2
Info 35   [18:53:55.952] Format host information updated
Info 36   [18:53:56.172] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [18:53:56.176] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 3.685200000181794ms
Info 38   [18:53:56.176] Different program with same set of files:: structureIsReused:: 2
Info 39   [18:53:58.858] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [18:53:58.863] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 5.236100000329316ms
Info 41   [18:53:58.863] Different program with same set of files:: structureIsReused:: 2
Info 42   [18:53:59.608] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [18:53:59.612] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 3.6610000003129244ms
Info 44   [18:53:59.612] Different program with same set of files:: structureIsReused:: 2
Info 45   [18:54:00.121] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [18:54:00.126] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 4.138899999670684ms
Info 47   [18:54:00.126] Different program with same set of files:: structureIsReused:: 2
Info 48   [18:54:00.422] getCompletionData: Get current token: 0.01640000008046627
Info 49   [18:54:00.423] getCompletionData: Is inside comment: 0.08009999990463257
Info 50   [18:54:00.423] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 51   [18:54:04.096] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [18:54:04.099] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 3.05489999987185ms
Info 53   [18:54:04.099] Different program with same set of files:: structureIsReused:: 2
Info 54   [18:54:07.415] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [18:54:07.418] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 2.9284999994561076ms
Info 56   [18:54:07.418] Different program with same set of files:: structureIsReused:: 2
Info 57   [18:54:07.714] getCompletionData: Get current token: 0.015999999828636646
Info 58   [18:54:07.714] getCompletionData: Is inside comment: 0.07499999925494194
Info 59   [18:54:07.714] Returning an empty list because completion was inside a regular comment or plain text part of a JsDoc comment.
Info 60   [18:54:07.972] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [18:54:07.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 5.85219999961555ms
Info 62   [18:54:07.978] Different program with same set of files:: structureIsReused:: 2
Info 63   [18:54:08.288] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [18:54:08.291] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 2.951799999922514ms
Info 65   [18:54:08.291] Different program with same set of files:: structureIsReused:: 2
Info 66   [18:54:08.834] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [18:54:08.838] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 3.555800000205636ms
Info 68   [18:54:08.838] Different program with same set of files:: structureIsReused:: 2
Info 69   [18:54:09.435] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [18:54:09.439] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 3.7654999997466803ms
Info 71   [18:54:09.450] Different program with same set of files:: structureIsReused:: 2
Info 72   [18:54:09.451] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [18:54:09.454] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 2.9677000008523464ms
Info 74   [18:54:09.454] Different program with same set of files:: structureIsReused:: 2
Info 75   [18:54:09.810] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [18:54:09.813] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 2.878200000151992ms
Info 77   [18:54:09.813] Different program with same set of files:: structureIsReused:: 2
Info 78   [18:54:10.160] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [18:54:10.163] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 2.9205000000074506ms
Info 80   [18:54:10.163] Different program with same set of files:: structureIsReused:: 2
Info 81   [18:54:11.058] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [18:54:11.064] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 5.70230000000447ms
Info 83   [18:54:11.064] Different program with same set of files:: structureIsReused:: 2
Info 84   [18:54:11.305] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [18:54:11.308] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 2.936900000087917ms
Info 86   [18:54:11.308] Different program with same set of files:: structureIsReused:: 2
Info 87   [18:54:12.089] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [18:54:12.093] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 3.341699999757111ms
Info 89   [18:54:12.093] Different program with same set of files:: structureIsReused:: 2
Info 90   [18:54:12.943] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [18:54:12.947] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 3.2441000007092953ms
Info 92   [18:54:12.947] Different program with same set of files:: structureIsReused:: 2
Info 93   [18:54:13.745] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 94   [18:54:13.749] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 3.5556999994441867ms
Info 95   [18:54:13.749] Different program with same set of files:: structureIsReused:: 2
Info 96   [18:54:16.680] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 97   [18:54:16.682] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 2.6670000003650784ms
Info 98   [18:54:16.682] Different program with same set of files:: structureIsReused:: 2
Info 99   [18:54:18.346] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
