Info 0    [17:25:40.473] Starting TS Server
Info 1    [17:25:40.473] Version: 4.1.5
Info 2    [17:25:40.473] Arguments: /nix/store/q0v2lqw9zb0dwag2h5s548cf32bncr66-nodejs-14.15.5/bin/node /home/jackson/.nix-profile/bin/tsserver --logFile /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/86457d1e1947f0f101b25e6a97241161/tscancellation*
Info 3    [17:25:40.473] Platform: linux NodeVersion: 14 CaseSensitive: true
Info 4    [17:25:40.473] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:25:40.482] Search path: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo
Info 6    [17:25:40.482] For info: /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js :: No config files found.
Info 7    [17:25:40.485] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [17:25:40.992] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 506.8727000001818ms
Info 9    [17:25:40.992] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [17:25:40.992] 	Files (19)

Info 11   [17:25:40.992] -----------------------------------------------
Info 12   [17:25:41.850] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [17:25:41.851] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0.43789999978616834ms
Info 14   [17:25:44.100] Before ensureProjectForOpenFiles:
Info 15   [17:25:44.100] After ensureProjectForOpenFiles:
Info 16   [17:25:44.101] got projects updated in background, updating diagnostics for /home/jackson/git_repos/TODO_TRACKER_316_HW1/src/todo/ToDoController.js
Info 17   [17:25:46.360] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [17:25:46.365] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 5.769000000087544ms
Info 19   [17:25:46.366] Different program with same set of files:: structureIsReused:: 2
Info 20   [17:25:51.237] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [17:25:51.242] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 4.479199999943376ms
Info 22   [17:25:51.242] Different program with same set of files:: structureIsReused:: 2
Info 23   [17:25:51.488] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [17:25:51.492] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 3.971699999878183ms
Info 25   [17:25:51.492] Different program with same set of files:: structureIsReused:: 2
